Branch ID,Product A (Unit(s) Sold),Product B (Unit(s) Sold),Product C (Unit(s) Sold),Product D (Unit(s) Sold),Product E (Unit(s) Sold),Product F (Unit(s) Sold)
000001,1,3,19,16,4,11
000002,10,5,15,13,2,3
000003,11,17,18,12,8,10
000004,12,12,14,20,8,6
000005,19,9,11,7,4,14
000006,1,1,19,7,13,16
000007,18,4,17,5,2,16
000008,2,18,12,11,3,7
000009,2,8,5,7,14,10
000010,9,14,15,15,10,4
000011,15,18,7,12,17,7
000012,17,6,7,8,14,11
000013,16,14,7,3,2,3
000014,4,8,9,5,13,16
000015,3,7,8,7,19,8
000016,2,0,0,15,18,8
000017,1,3,13,7,0,17
000018,2,2,6,9,8,9
000019,12,2,16,15,7,19
000020,11,14,4,10,3,16
000021,5,15,18,4,15,6
000022,18,20,7,4,1,19
000023,5,0,7,15,15,1
000024,16,14,2,8,20,13
000025,14,16,14,11,2,13
000026,6,19,10,9,6,17
000027,8,20,17,18,13,17
000028,18,18,15,13,3,5
000029,18,16,2,5,5,14
000030,9,1,14,13,1,3
000031,9,17,19,1,2,4
000032,7,6,7,12,18,2
000033,12,8,6,7,5,18
000034,3,7,2,9,13,3
000035,2,1,17,15,5,17
000036,1,17,13,8,1,6
000037,7,20,12,6,11,13
000038,8,16,9,1,11,14
000039,5,13,11,17,8,18
000040,9,8,10,15,5,16
000041,2,15,4,16,4,5
000042,8,15,15,10,10,17
000043,14,10,1,15,7,2
000044,9,7,9,16,19,15
000045,8,14,8,3,16,17
000046,6,10,1,6,8,13
000047,13,7,4,7,8,6
000048,19,17,14,16,18,3
000049,8,9,7,0,13,2
000050,6,9,14,16,3,9
000051,16,19,18,10,4,20
000052,7,16,9,16,6,1
000053,14,19,4,18,15,16
000054,4,7,0,2,8,6
000055,18,6,19,4,10,11
000056,14,11,1,11,2,17
000057,16,12,13,18,7,1
000058,0,18,2,20,5,10
000059,6,4,9,2,16,16
000060,13,8,11,13,19,18
000061,6,16,9,0,7,13
000062,17,7,14,17,6,17
000063,10,3,15,9,17,17
000064,19,10,20,11,5,3
000065,16,4,14,15,17,7
000066,7,3,9,0,1,5
000067,1,15,10,17,16,2
000068,7,16,5,13,15,15
000069,8,8,14,5,8,2
000070,6,1,7,13,17,19
000071,8,19,12,7,12,6
000072,14,18,13,1,1,12
000073,19,3,14,8,9,19
000074,8,6,17,5,8,9
000075,11,7,11,4,10,2
000076,14,4,10,16,10,7
000077,10,3,10,18,2,9
000078,15,19,10,10,3,19
000079,1,6,7,1,14,7
000080,1,8,5,17,6,14
000081,15,6,19,16,4,7
000082,4,9,3,14,2,12
000083,9,0,4,6,13,8
000084,9,9,17,20,6,1
000085,6,18,0,3,16,11
000086,16,20,5,10,17,15
000087,12,4,17,18,15,14
000088,13,19,20,20,14,19
000089,7,3,13,5,5,12
000090,9,2,0,19,4,11
000091,3,8,1,4,5,8
000092,16,19,7,7,1,2
000093,14,20,14,13,9,9
000094,17,19,2,16,18,1
000095,6,8,17,20,1,18
000096,4,10,19,8,15,13
000097,11,3,3,16,1,19
000098,7,6,17,4,15,7
000099,7,2,1,1,7,8
000100,6,10,14,14,7,1
000101,2,7,4,3,13,11
000102,3,6,1,2,8,7
000103,6,17,6,9,1,0
000104,19,19,16,3,5,8
000105,16,7,9,1,16,15
000106,4,9,1,15,16,10
000107,0,11,19,9,19,19
000108,7,8,14,3,0,5
000109,5,1,20,18,20,14
000110,3,0,11,8,0,19
000111,8,13,13,14,5,12
000112,8,12,12,7,12,4
000113,6,1,1,8,11,2
000114,17,6,15,16,6,18
000115,3,12,6,11,7,12
000116,5,15,7,14,5,17
000117,12,18,10,8,10,11
000118,1,9,14,6,13,15
